auction_id,starting_price,current_bid,bidders,total_bids,avg_increment,bid_velocity,auction_duration,time_remaining,final_price,winner_id,will_win
119,1795,6595,3,15,182,8.0,52,95,4741,17,1
120,1124,1124,20,82,114,8.0,30,77,3028,10,0
121,1634,3697,17,69,165,8.0,62,12,4740,6,1
122,1802,8033,19,104,182,8.0,196,46,9715,12,1
123,704,704,3,34,71,8.0,212,65,1216,20,0
124,309,1270,7,48,31,8.0,148,96,1507,6,1
125,533,657,8,34,54,8.0,42,26,1180,5,0
126,911,2788,7,43,92,8.0,201,26,2775,20,1
127,1654,7136,7,31,167,8.0,53,56,5876,11,1
128,1735,5343,10,44,175,8.0,68,85,5575,11,1
129,113,170,9,47,11,8.0,168,27,477,10,0
130,1070,1677,10,60,108,8.0,121,12,2872,13,0
131,893,893,13,70,90,8.0,155,26,2264,15,0
132,522,1104,19,98,52,8.0,201,44,2046,12,0
133,327,971,7,43,33,8.0,73,35,1059,19,1
134,741,2816,5,50,75,8.0,271,86,3006,1,1
135,1891,5591,8,51,191,8.0,181,94,6042,2,1
136,714,2981,19,87,72,8.0,35,37,3428,1,1
137,1085,3646,6,49,110,8.0,199,82,3980,13,1
138,1435,4085,19,90,145,8.0,155,6,5844,7,1
139,790,1235,11,73,80,8.0,219,55,2064,11,0
140,1946,7211,9,67,197,8.0,241,83,7387,19,1
141,1928,3704,2,37,195,7.683513732506971,283,41,4006,12,1
142,578,1149,16,89,58,8.0,299,14,2135,16,0
143,1044,1245,4,37,105,8.0,178,28,1908,13,0
144,671,671,16,83,68,8.0,181,49,1962,9,0
145,641,1593,15,61,65,8.0,36,84,2109,14,1
146,170,213,2,40,17,8.0,263,74,525,2,0
147,1258,2582,9,38,127,8.0,37,8,3223,13,1
148,1055,4114,8,57,106,8.0,200,54,4169,10,1
149,197,399,10,46,20,8.0,56,87,801,8,0
150,629,1948,19,82,63,8.0,107,57,2724,18,1
151,1825,7208,13,57,185,8.0,67,6,6845,17,1
152,555,750,9,48,56,8.0,67,82,1369,11,0
153,375,1614,9,37,38,8.0,50,90,1485,12,1
154,1029,2958,7,43,104,8.0,115,38,3493,11,1
155,1972,6947,4,30,199,8.0,144,31,5727,19,1
156,559,2225,3,31,56,8.0,155,54,1850,14,1
157,1377,5070,15,76,139,8.0,148,98,5863,11,1
158,1547,2618,9,54,156,8.0,171,83,4189,1,0
159,551,953,7,60,55,8.0,262,81,1566,20,0
160,1483,2166,5,39,150,8.0,200,19,2748,5,0
161,798,1216,6,24,80,8.0,34,89,1604,5,0
162,1301,4915,14,61,131,8.0,76,55,4991,10,1
163,1303,3746,10,48,132,8.0,124,91,3892,12,1
164,1117,1426,14,84,113,8.0,286,65,3100,5,0
165,271,527,10,53,27,8.0,51,83,912,3,0
166,1687,1832,17,99,171,8.0,221,16,5235,19,0
167,709,2740,13,57,71,8.0,38,70,2932,19,1
168,454,1398,3,26,46,8.0,127,25,1499,3,1
169,177,249,20,112,17,8.0,237,16,867,14,0
170,1222,4765,17,83,123,8.0,122,57,5051,6,1
171,1387,5714,14,69,140,8.0,146,60,5941,18,1
172,131,448,6,57,13,8.0,274,49,721,20,1
173,1072,2833,7,36,108,8.0,47,8,2875,6,1
174,530,1939,18,98,53,8.0,172,24,2449,15,1
175,1325,2940,18,89,134,8.0,128,23,4287,5,1
176,431,1058,18,101,43,8.0,290,31,1977,7,1
177,1412,3375,4,36,143,8.0,244,62,3576,6,1
178,834,3679,14,66,84,8.0,62,43,4078,4,1
179,1879,3801,13,78,190,8.0,280,96,5688,2,0
180,361,952,7,44,36,8.0,87,1,1247,5,1
181,748,3051,14,58,75,8.0,52,21,3295,1,1
182,315,352,15,85,31,8.0,176,57,1105,17,0
183,1856,3475,8,57,188,8.0,228,87,4684,20,0
184,1766,6323,6,46,179,8.0,223,3,5971,18,1
185,590,2084,15,77,59,8.0,174,88,2646,12,1
186,1353,3873,19,90,137,8.0,163,50,6106,1,1
187,1652,5569,5,49,167,8.0,291,78,5384,8,1
188,1154,2135,2,40,117,8.0,251,94,2541,18,0
189,1106,3538,8,58,112,8.0,218,21,3886,3,1
190,559,559,14,59,56,8.0,82,58,1418,2,0
191,276,1231,5,48,28,8.0,251,88,1324,11,1
192,1804,5719,14,76,182,8.0,232,84,6563,8,1
193,1810,2650,5,48,183,8.0,297,52,3643,2,0
194,1302,4519,4,23,132,8.0,65,94,3625,15,1
195,744,2355,9,54,75,8.0,223,70,2641,3,1
196,763,3334,9,63,77,8.0,294,52,3658,4,1
197,1479,2764,18,96,149,8.0,154,5,5179,9,0
198,1804,1819,16,93,182,8.0,228,48,4761,14,0
199,1785,2639,5,49,181,8.0,293,42,3643,12,0
200,1581,3716,7,40,160,8.0,177,30,3775,6,1
201,1319,2215,7,49,133,8.0,218,94,2846,1,0
202,259,922,11,46,26,8.0,35,92,1120,17,1
203,407,407,5,33,41,8.0,170,33,762,16,0
204,1807,2305,10,49,183,8.0,99,43,3589,3,0
205,1252,2431,17,73,126,8.0,65,75,3919,10,0
206,117,337,8,61,11,8.0,221,83,653,4,1
207,292,550,15,72,29,8.0,40,11,1078,1,0
208,1360,3916,7,50,137,8.0,274,49,4148,17,1
209,109,214,2,31,11,8.0,169,91,512,20,1
210,405,1464,19,104,41,8.0,205,66,2041,20,1
211,1142,4049,13,67,115,8.0,98,54,4266,7,1
212,1414,5267,16,76,143,8.0,79,71,5569,2,1
213,1338,5809,2,17,135,8.0,95,66,4525,7,1
214,526,2028,16,74,53,8.0,92,94,2433,1,1
215,1453,5619,16,93,147,8.0,263,91,6192,9,1
216,550,1217,17,97,55,8.0,242,39,1971,10,1
217,718,1401,2,41,72,8.0,260,3,1732,20,1
218,1518,2460,4,34,153,8.0,228,33,3047,12,0
219,1334,3257,13,72,135,8.0,203,20,4282,14,1
220,1713,3756,8,49,173,8.0,172,13,3979,16,1
221,1349,2184,6,29,136,8.0,101,88,2495,10,0
222,1179,1179,2,37,119,8.0,220,70,1820,19,0
223,277,690,2,16,28,8.0,66,3,747,20,1
224,798,3536,16,79,80,8.0,167,91,3807,15,1
225,603,2114,9,40,61,8.0,82,90,2087,9,1
226,563,2410,12,63,57,8.0,166,94,2593,3,1
227,1948,5166,15,68,197,8.0,109,82,6429,18,1
228,846,3769,14,61,85,8.0,44,7,3442,17,1
229,1794,2758,20,100,181,8.0,166,62,5776,9,0
230,1299,3695,13,61,131,8.0,79,8,4398,10,1
231,1610,2839,20,82,163,8.0,73,71,4988,20,0
232,1055,1736,5,28,106,8.0,133,19,1806,2,1
233,1196,5097,5,34,121,8.0,127,93,4415,14,1
234,1035,3038,4,47,105,8.0,264,93,3164,8,1
235,470,522,7,52,47,8.0,182,59,1080,18,0
236,1472,3180,6,58,149,8.0,260,75,4191,8,1
237,633,2471,12,52,64,8.0,69,85,2727,4,1
238,146,167,10,54,14,8.0,126,38,553,7,0
239,1326,1326,4,34,134,8.0,179,57,2034,3,0
240,436,1715,10,50,44,8.0,71,17,1813,5,1
241,1886,6267,13,65,191,8.0,64,98,7115,17,1
242,1912,2026,4,37,193,8.0,208,92,3001,16,0
243,1838,2720,18,100,186,8.0,206,48,5492,12,0
244,803,853,13,59,81,8.0,93,55,1764,12,0
245,129,136,19,91,13,8.0,91,43,623,17,0
246,1863,7698,5,42,188,8.0,231,0,6507,17,1
247,913,3278,11,51,92,8.0,61,22,3465,2,1
248,1936,5224,19,99,196,8.0,279,10,7985,4,1
249,1930,3823,9,71,195,8.0,284,32,5862,6,1
250,1720,5268,10,63,174,8.0,265,23,5855,17,1
251,659,1224,20,85,66,8.0,86,76,2160,2,0
252,831,1102,14,67,84,8.0,34,50,2182,2,0
253,1717,4466,7,59,174,8.0,282,81,4931,20,1
254,702,2757,8,40,71,8.0,122,63,2757,9,1
255,422,1406,7,37,42,8.0,113,65,1518,15,1
256,1157,4288,12,66,117,8.0,100,87,5097,19,1
257,1878,2745,18,83,190,8.0,96,84,5247,11,0
258,1422,6198,20,97,144,8.0,228,6,7758,3,1
259,1183,1276,13,82,119,8.0,275,57,3054,15,0
260,284,765,14,88,28,8.0,242,41,1371,19,1
261,1268,2761,19,97,128,8.0,212,59,4395,4,0
262,1981,5926,8,48,200,8.0,107,86,5841,5,1
263,366,1567,6,39,37,8.0,177,1,1435,8,1
264,1084,1311,17,76,109,8.0,93,1,2900,18,0
265,1767,2277,5,27,179,8.0,60,6,2583,6,1
266,1507,3073,2,19,152,8.0,62,87,2943,6,1
267,1424,4518,5,45,144,8.0,193,35,5034,14,1
268,1434,1924,4,22,145,8.0,40,37,2182,17,0
269,783,1004,5,48,79,8.0,292,34,1630,11,0
270,657,2453,2,38,66,8.0,298,23,2348,5,1
271,1637,6126,13,56,166,8.0,70,3,6437,5,1
272,1639,5438,14,66,166,8.0,145,90,5902,6,1
273,1747,4052,3,31,177,8.0,237,23,4063,17,1
274,1835,5363,10,72,186,8.0,287,89,6395,3,1
275,1071,3295,8,65,108,8.0,270,95,3690,19,1
276,1052,3487,14,62,106,8.0,98,57,3875,20,1
277,1616,2690,3,17,163,8.0,53,37,2411,9,1
278,1334,3614,2,27,135,8.0,107,76,3238,2,1
279,1433,6442,19,95,145,8.0,148,2,6937,5,1
280,1612,2338,8,48,163,8.0,127,92,3160,1,0
281,1791,1946,19,94,181,8.0,238,40,5197,12,0
282,742,783,20,86,75,8.0,99,30,1969,15,0
283,813,2658,9,59,82,8.0,261,12,3023,13,1
284,278,1062,13,68,28,8.0,90,95,1324,17,1
285,1198,2011,12,56,121,8.0,127,81,3138,20,0
286,168,168,10,64,17,8.0,150,72,583,9,0
287,984,3391,5,25,99,8.0,108,93,2983,18,1
288,1131,4032,8,62,114,8.0,236,95,4575,4,1
289,644,1144,18,81,65,8.0,140,26,2383,1,0
290,1222,1222,12,82,123,8.0,269,78,2774,16,0
291,157,593,3,36,16,7.7063174805734596,290,76,802,12,1
292,170,365,19,104,17,8.0,262,55,919,9,0
293,1662,4528,13,69,168,8.0,171,15,5290,20,1
294,784,3239,10,59,79,8.0,167,94,3390,2,1
295,341,532,12,62,34,8.0,88,31,1051,6,0
296,1092,1400,6,47,110,8.0,189,57,2099,3,0
297,1562,4616,8,57,158,8.0,287,1,4909,15,1
298,510,1665,2,20,51,8.0,51,42,1522,15,1
299,1283,2895,6,48,130,8.0,233,61,3226,1,1
300,262,262,7,54,26,8.0,264,38,757,19,0
301,198,223,14,88,20,8.0,296,47,751,13,0
302,1109,1986,12,69,112,8.0,120,19,3069,13,1
303,1127,1820,9,51,114,8.0,126,35,2724,7,0
304,1311,2576,3,26,132,8.0,92,72,2459,4,1
305,1479,4132,16,96,150,8.0,243,96,6159,1,1
306,1954,1967,11,53,198,8.0,67,46,3593,13,0
307,1080,1770,9,47,109,8.0,102,68,2255,1,0
308,713,2683,3,25,72,8.0,109,97,2383,7,1
309,1610,2292,16,78,163,8.0,131,77,4377,9,0
310,614,1172,7,45,62,8.0,143,1,1561,4,1
311,934,2326,6,38,94,8.0,180,93,2503,4,1
312,249,348,4,40,25,8.0,286,86,713,2,0
313,148,534,12,58,15,8.0,96,27,751,2,1
314,1929,1929,12,76,195,8.0,240,18,4596,8,0
315,1688,4027,17,89,171,8.0,212,89,6020,7,0
316,1422,4015,4,22,144,8.0,61,68,3881,19,1
317,877,1105,10,63,88,8.0,248,23,2059,1,0
318,429,1435,4,16,43,8.0,54,71,1356,2,1
319,397,460,20,103,40,8.0,229,60,1515,17,0
320,575,1644,12,66,58,8.0,223,30,2082,20,1
321,1143,4710,15,83,115,8.0,216,55,5098,18,1
322,1457,2056,3,26,147,8.0,104,52,2348,3,0
323,1354,3944,8,59,137,8.0,184,50,4512,7,1
324,631,2432,11,68,64,8.0,235,51,2783,3,1
325,1914,3056,11,70,194,8.0,202,0,4974,16,0
326,1502,1502,2,39,152,8.0,247,26,2473,10,0
327,1153,1153,7,45,116,8.0,215,43,1986,14,0
328,1262,2154,15,66,127,8.0,104,12,3486,7,0
329,897,3094,3,23,90,8.0,71,74,2717,4,1
330,570,1172,7,50,57,8.0,200,84,1656,1,1
331,776,1998,2,37,78,8.0,235,81,2230,7,1
332,1539,1561,4,28,156,8.0,68,45,2277,10,0
333,127,517,5,26,12,8.0,77,69,643,17,1
334,320,742,14,61,32,8.0,33,7,1217,15,1
335,187,696,4,28,18,8.0,173,19,779,10,1
336,177,177,16,84,17,8.0,176,4,796,8,0
337,1725,5847,14,74,174,8.0,165,96,6294,3,1
338,1436,3815,12,59,145,8.0,115,57,4312,13,1
339,1000,1763,5,43,101,8.0,145,17,2330,18,1
340,285,985,18,102,28,8.0,236,70,1610,1,1
341,1034,2703,6,39,104,8.0,79,48,2755,4,1
342,999,3023,9,46,101,8.0,84,43,3130,7,1
343,429,1510,11,60,43,8.0,210,91,1970,19,1
344,924,1045,8,63,93,8.0,264,70,2008,15,0
345,857,2872,18,86,86,8.0,121,69,3693,5,1
346,1270,3024,8,68,128,8.0,281,9,3941,10,1
347,1306,5543,20,79,132,8.0,45,9,5712,17,1
348,186,753,10,52,18,8.0,62,66,1050,17,1
349,811,2909,3,25,82,8.0,154,15,2487,17,1
350,1289,4528,20,106,130,8.0,225,45,5655,3,1
351,1055,4301,7,47,107,8.0,130,56,4217,10,1
352,1727,6467,11,58,175,8.0,179,38,6354,9,1
353,1351,5893,14,64,137,8.0,37,8,5640,7,1
354,409,1635,3,36,41,8.0,154,74,1581,16,1
355,234,472,11,50,23,8.0,95,88,802,11,0
356,1320,4466,11,64,133,8.0,169,16,4869,19,1
357,150,602,6,44,15,8.0,171,85,750,7,1
358,1212,4606,5,45,122,8.0,233,78,4440,1,1
359,1886,5855,3,38,191,8.0,175,56,5093,9,1
360,1193,3178,8,55,120,8.0,195,59,3741,9,1
361,837,928,19,99,84,8.0,173,65,2572,17,0
362,1322,2625,18,103,134,8.0,297,52,4792,8,0
363,970,2950,12,77,98,8.0,243,84,3811,17,1
364,1136,3340,19,100,115,8.0,234,47,5079,19,1
365,1888,6749,9,57,191,8.0,199,54,6718,13,1
366,833,3369,13,71,84,8.0,172,3,3835,3,1
367,1926,5545,2,24,195,8.0,123,18,4938,13,1
368,1820,5784,13,76,184,8.0,241,90,6662,2,1
369,472,1121,7,38,47,8.0,81,12,1341,18,1
370,231,235,4,15,23,8.0,39,90,423,6,0
371,291,585,6,46,29,8.0,218,63,947,18,1
372,134,376,15,63,13,8.0,69,92,741,4,1
373,279,733,13,81,28,8.0,274,81,1188,9,1
374,1397,4030,14,78,141,8.0,238,86,5545,19,1
375,235,732,14,80,23,8.0,192,52,1170,13,1
376,706,745,18,82,71,8.0,114,82,2040,5,0
377,1705,1705,16,81,172,8.0,202,46,3918,12,0
378,144,236,7,38,14,8.0,158,4,541,11,1
379,1647,4598,13,69,167,8.0,108,65,5286,7,1
380,635,1308,3,47,64,8.0,285,72,1673,8,1
381,324,957,5,35,32,8.0,73,10,1099,11,1
382,1423,4500,13,71,144,8.0,233,81,4817,17,1
383,1294,1873,4,47,131,8.0,246,7,2648,7,1
384,1767,5252,18,106,179,8.0,286,44,7106,14,1
385,1496,6711,7,41,151,8.0,178,48,6108,3,1
386,1626,7093,18,90,164,8.0,174,3,7981,6,1
387,635,1339,18,95,64,8.0,278,6,2290,5,1
388,437,679,12,80,44,8.0,246,45,1457,12,0
389,1526,6338,8,64,154,8.0,236,31,6470,13,1
390,1632,5848,3,37,165,8.0,243,81,5199,7,1
391,1981,3321,20,91,200,8.0,163,41,6224,11,0
392,883,1791,3,12,89,8.0,41,10,1749,10,1
393,806,1931,14,65,81,8.0,83,15,2775,5,1
394,1575,3537,17,89,159,8.0,203,67,5561,15,0
395,747,2298,18,81,75,8.0,136,95,3217,16,1
396,1868,6496,12,73,189,8.0,193,86,7305,3,1
397,1730,7146,10,61,175,8.0,178,12,7339,14,1
398,915,1328,10,61,92,8.0,148,1,2265,3,0
399,1526,3286,15,77,154,8.0,93,2,4901,6,1
400,1533,5481,14,79,155,8.0,224,55,6595,16,1
401,295,998,12,83,30,8.0,275,48,1453,3,1
402,1814,7485,13,78,183,8.0,237,1,8418,10,1
403,1059,3629,4,24,107,8.0,62,5,3179,20,1
404,1670,2049,2,33,169,8.0,175,99,2636,16,0
405,708,2452,9,61,71,8.0,255,96,2944,4,1
406,1801,1801,20,96,182,8.0,189,12,5293,12,0
407,839,2416,14,78,85,8.0,148,16,3533,1,1
408,120,395,8,47,12,8.0,106,90,639,9,1
409,1820,7013,14,64,184,8.0,119,50,7281,9,1
410,273,826,7,39,27,8.0,95,95,1086,14,1
411,706,2226,4,21,71,8.0,82,52,2077,18,1
412,1905,2596,7,52,193,8.0,188,57,4062,7,0
413,1906,1964,4,37,193,8.0,167,22,3194,11,0
414,1189,1400,14,77,120,8.0,228,87,3026,16,0
415,1300,2146,14,72,131,8.0,113,82,3571,1,0
416,952,2336,14,68,96,8.0,154,33,3402,15,1
417,657,1480,2,32,66,8.0,213,61,1579,11,1
418,724,1387,9,70,73,8.0,290,34,2197,9,1
419,1377,5630,6,37,139,8.0,124,46,4774,15,1
420,1529,1721,18,80,155,8.0,110,85,3933,2,0
421,1604,2138,10,59,162,8.0,151,41,3555,6,0
422,1600,3855,14,85,162,8.0,225,84,5659,9,1
423,273,349,14,85,27,8.0,289,96,1012,20,0
424,1039,1429,6,39,105,8.0,174,41,1968,10,0
425,209,916,15,79,21,8.0,249,87,1228,8,1
426,1144,3007,12,61,115,8.0,155,30,3625,12,1
427,938,1115,15,69,95,8.0,40,0,2191,18,0
428,1786,1786,8,63,181,8.0,271,8,3736,6,0
429,766,2698,18,87,77,8.0,108,73,3325,17,1
430,322,716,5,31,32,8.0,67,10,930,15,1
431,371,688,11,75,37,8.0,298,93,1224,8,0
432,1546,5174,11,64,156,8.0,123,86,5633,4,1
433,1274,4314,16,70,129,8.0,66,51,4792,20,1
434,292,623,13,58,29,8.0,114,58,1063,19,0
435,259,1121,10,51,26,8.0,168,69,1238,6,1
436,1431,3264,4,19,145,8.0,53,73,2955,11,1
437,238,525,16,85,24,8.0,125,49,988,16,0
438,1661,6110,13,78,168,8.0,210,31,6889,1,1
439,1441,5506,16,91,146,8.0,277,91,6124,6,1
440,254,474,2,19,25,8.0,137,4,618,18,1
441,261,874,16,87,26,8.0,182,35,1262,10,1
442,1974,6250,12,71,200,8.0,201,66,7351,12,1
443,811,811,6,24,82,8.0,49,89,1265,2,0
444,804,1224,8,52,81,8.0,122,7,1974,7,1
445,1644,1927,13,73,166,8.0,214,65,3938,12,0
446,1899,7742,7,51,192,8.0,228,48,7092,15,1
447,1973,8556,4,26,200,8.0,126,68,5948,3,1
448,1531,5899,11,53,155,8.0,31,31,5205,18,1
449,814,1589,5,22,82,8.0,31,71,1722,9,1
450,258,1030,14,81,26,8.0,175,18,1402,20,1
451,1576,1600,20,96,159,8.0,178,77,4721,7,0
452,1160,3872,6,38,117,8.0,180,74,3608,19,1
453,906,1140,19,106,91,8.0,224,94,2623,1,0
454,1822,1822,2,34,184,7.465492415284608,278,17,2545,7,0
455,311,451,17,101,31,8.0,297,72,1247,1,0
456,1035,4521,17,94,105,8.0,219,32,5315,16,1
457,121,436,17,83,12,8.0,168,28,846,11,1
458,990,2690,20,85,100,8.0,68,40,3704,4,1
459,206,883,17,79,20,8.0,133,28,1361,1,1
460,325,762,2,30,33,8.0,184,24,894,3,1
461,323,323,11,71,32,8.0,299,76,972,4,0
462,1333,4000,3,25,135,8.0,64,69,3398,15,1
463,1517,5864,15,85,153,8.0,244,10,7473,15,1
464,1208,2245,9,65,122,8.0,299,56,3463,11,1
465,1928,3806,7,61,195,8.0,247,33,4699,8,1
466,812,2668,4,44,82,8.0,237,97,2628,18,1
467,642,2427,17,86,65,8.0,99,42,3221,7,1
468,1750,4211,18,77,177,8.0,30,4,6465,19,1
469,524,592,13,56,53,8.0,91,33,1248,17,0
470,1930,6875,20,108,195,8.0,243,31,8612,10,1
471,123,292,4,17,12,8.0,58,0,467,17,1
472,1942,8096,14,71,196,8.0,109,48,8649,10,1
473,182,316,17,91,18,8.0,181,90,912,3,0
474,1793,4508,12,62,181,8.0,186,80,5462,7,1
475,1102,3771,17,81,111,8.0,176,68,4681,5,1
476,1986,3391,3,38,201,7.550891247352947,294,34,4112,13,1
477,240,393,5,23,24,8.0,33,23,605,1,1
478,1152,4028,5,33,116,8.0,161,34,4076,17,1
479,1941,2846,18,89,196,8.0,166,12,5983,2,0
480,1093,1357,2,15,110,8.0,109,9,1506,19,1
481,1295,2278,2,34,131,8.0,171,57,2657,6,1
482,1421,5453,6,52,144,8.0,211,81,5270,9,1
483,963,3850,13,73,97,8.0,211,9,4348,8,1
484,1292,1533,7,29,131,8.0,53,33,2056,12,0
485,1210,1459,7,48,122,8.0,246,12,2370,19,0
486,1812,7062,18,97,183,8.0,281,31,8614,14,1
487,186,801,14,68,18,8.0,63,83,1019,17,1
488,633,1633,9,52,64,8.0,142,3,2094,15,1
489,1905,7511,13,71,193,8.0,168,64,8346,1,1
490,1791,7328,16,66,181,8.0,66,5,6579,8,1
